# BLASTP 2.17.0+
# Query: Unknown protein sequence
# Database: /Users/Q149596/development/workspaces/explorations/phyloproject/blastdb/tsr3_db
# Fields: subject acc., alignment length, % identity, gaps, score, bit score, evalue
# 502 hits found
9669_0:004b37	345	74.493	33	1124	488	3.40e-166
10047_0:00137c	327	72.477	18	1118	486	7.36e-166
132908_0:003513	317	76.972	7	1116	485	1.09e-165
59472_0:003427	332	76.205	23	1118	486	1.10e-165
10181_0:004b51	302	78.477	4	1113	483	1.48e-165
34839_0:0022e1	302	77.483	2	1112	483	2.27e-165
89673_0:0011b4	321	76.636	10	1113	483	4.29e-165
77932_0:0039b1	316	78.481	8	1110	482	1.10e-164
10090_0:004eab	326	73.313	17	1109	482	2.13e-164
42410_0:002eed	324	73.457	14	1103	479	2.60e-163
38674_0:002728	312	74.038	3	1102	479	6.10e-163
10105_0:0034ed	323	71.517	18	1100	478	6.79e-163
10036_0:001b88	323	72.446	12	1099	477	9.88e-163
59463_0:0044ae	319	77.429	9	1092	474	1.35e-161
42415_0:0027e3	345	68.406	34	1101	478	2.12e-161
10149_0:002961	302	78.808	2	1086	472	5.15e-161
9407_0:0048e4	318	77.673	7	1088	473	5.90e-161
10029_0:00462c	334	71.557	22	1089	473	1.07e-160
1230840_0:00166c	318	76.415	7	1085	471	1.44e-160
9678_0:00319c	293	80.887	6	1080	469	2.14e-160
192404_0:003803	318	75.472	9	1072	466	1.80e-158
1047088_0:0016c5	326	72.699	17	1070	465	6.12e-158
186990_0:0007f3	292	81.849	4	1064	462	4.55e-157
9417_0:002d72	294	77.891	5	1061	461	1.25e-156
53275_0:0043ee	334	72.754	24	1063	462	1.43e-156
79684_0:00126c	326	72.699	17	1057	459	9.07e-156
447135_0:0011c1	328	72.561	19	1054	458	3.58e-155
127582_0:00105a	296	79.054	7	1049	456	1.69e-154
9646_0:00289b	263	84.030	3	1052	457	2.58e-154
9430_0:000616	316	76.899	5	1044	454	1.83e-153
9361_0:004750	330	70.606	31	1041	452	3.86e-153
109678_0:0012e6	271	78.967	8	1035	450	3.82e-152
143292_0:0030fd	301	78.073	6	1025	445	8.24e-151
9365_0:002b9c	321	74.143	12	1029	447	1.64e-150
291302_0:00221a	267	82.397	5	1017	442	1.73e-150
46360_0:001b27	254	83.858	3	1005	437	7.34e-149
202257_0:00498c	269	79.182	5	998	434	1.39e-146
9880_0:005240	254	83.071	5	983	427	2.98e-145
9838_0:004d37	234	87.607	0	988	430	1.76e-144
28737_0:004a0c	324	73.148	13	985	428	6.83e-144
9371_0:000849	339	67.552	39	975	424	1.46e-141
225400_0:001f44	257	85.214	5	960	417	2.24e-141
185453_0:003ebe	249	81.526	1	970	422	5.06e-141
37032_0:002133	254	81.890	4	957	416	6.81e-141
9785_0:0037af	350	69.143	43	966	420	4.71e-140
33562_0:000b61	327	65.138	19	960	417	9.83e-140
9447_0:004c26	251	83.665	4	949	413	1.72e-139
13616_0:004963	336	63.690	29	955	415	1.03e-138
10160_0:000f47	268	77.239	2	952	414	5.40e-138
9337_0:0053e3	328	63.415	18	935	407	1.51e-135
9305_0:000ca9	319	65.204	10	930	404	7.42e-135
50954_0:000dbf	275	76.364	15	916	398	4.80e-133
9978_0:003eb8	293	69.625	22	924	402	8.38e-133
29139_0:00253d	332	62.048	22	917	399	1.67e-132
9986_0:0041bc	263	75.285	5	900	392	1.65e-130
9615_0:00184e	267	80.899	6	932	405	2.72e-130
9615_0:00184e	58	62.069	5	44	22.8	6.4
194408_0:00409b	314	60.828	12	860	374	2.10e-123
109475_0:0008c2	235	74.894	1	858	373	4.29e-123
55291_0:004055	323	57.895	17	852	371	4.47e-122
1534307_0:002128	328	57.927	23	847	369	3.22e-121
42254_0:002928	238	74.370	1	842	367	1.33e-120
7906_0:003807	253	70.751	12	840	366	2.00e-120
7906_0:005356	256	68.750	11	830	361	6.93e-120
1415580_0:0036b2	329	57.143	19	839	365	8.40e-120
8364_0:004d1d	318	57.862	11	834	363	3.34e-119
30331_0:0042b1	322	58.075	20	831	362	8.36e-119
40147_0:002fc1	256	67.969	11	830	361	1.35e-118
8355_0:00796e	320	58.750	12	829	361	2.73e-118
